angDist,_RAJ2000,_DEJ2000,Seq,CXOU,W05,RAJ2000,DEJ2000,Err95,NP,NB,<CRate>,RMS,Min,Max,Var,NCts,Events,EMed,EvBack,EMedB,QDx,QDy,VarCl,LC,SourceID,RA,DEC
0.519680,5.1108606849,59.248734487,7,J002026.6+591455,17C,5.1108606849,59.248734487,0.51,8,3,3.892E-4,4.33E-5,2.83E-4,4.16E-4,0.86,40.58,73,1447.0,7,4089.0,-0.7568055,1.1313059,,LC,2008,5.11089765,59.2488776
0.496612,4.9946504777,59.257606547,13,J001958.7+591527,na,4.9946504777,59.257606547,0.53,7,2,3.852E-4,2.84E-4,1.0E-4,9.61E-4,3.13,18.75,38,1694.0,1,331.0,-0.6553656,1.2779523,"TC,S?",LC,2108,4.994479800000001,59.2577134
0.660051,5.0366281462,59.262352994,15,J002008.8+591544,na,5.0366281462,59.262352994,0.49,8,0,2.75E-4,1.28E-4,1.0E-4,,,,25,1059.0,4,4517.0,-0.9611232,1.4591757,,LC,1391,5.03656255,59.262533250000004
0.176889,5.144148401,59.265909237,17,J002034.6+591557,20C,5.144148401,59.265909237,0.35,8,8,0.001913,3.96E-4,0.00141,0.00247,1.97,349.68,481,1063.0,25,3173.0,-0.9587041,1.4691734,,LC,1744,5.1441021,59.265952299999995
0.670310,5.1213223475,59.281007875,20,J002029.1+591651,"18C,39X",5.1213223475,59.281007875,0.28,10,10,0.1058,0.0561,0.0237,0.18,55.58,22631.67,28667,1752.0,236,1692.0,-0.6339219,1.1686951,"V,X",LC,889,5.1209659,59.2810468
0.258132,4.9781146686,59.289379758,26,J001954.7+591721,1C,4.9781146686,59.289379758,0.42,8,2,3.271E-4,1.04E-4,1.0E-4,3.31E-4,2.52,22.07,42,1067.0,4,3133.0,-0.9563397,0.887843,,LC,1623,4.978046000000001,59.289442300000005
0.781140,5.0382045465,59.293906772,29,J002009.2+591738,na,5.0382045465,59.293906772,0.39,10,1,3.11E-4,1.12E-4,1.0E-4,5.1E-4,3.64,22.18,46,3600.0,1,2095.0,-0.1250355,1.1781461,"TC,X",LC,364,5.0378419999999995,59.29401995
0.524160,5.0481171416,59.304031887,32,J002011.5+591814,na,5.0481171416,59.304031887,0.48,10,0,2.7E-4,1.06E-4,1.0E-4,,,,30,954.4,6,3804.0,-1.032042,1.7947527,,LC,131,5.048192950000001,59.30417224999999
0.499737,5.0330532854,59.312378661,38,J002007.9+591844,na,5.0330532854,59.312378661,0.45,10,2,3.109E-4,7.18E-5,2.0E-4,2.96E-4,1.09,21.79,45,1047.0,4,3634.0,-0.9688581,1.7070477,,LC,419,5.0332672,59.3124644
0.239485,5.1083595141,59.312527964,39,J002026.0+591845,"16C,37X",5.1083595141,59.312527964,0.46,10,6,4.467E-4,2.67E-4,2.42E-4,0.00105,2.83,78.63,133,1058.0,12,3440.0,-0.9617519,1.3819461,,LC,382,5.108309050000001,59.3125893
0.896146,5.1612659808,59.294715889,45,J002038.7+591740,21C,5.1612659808,59.294715889,0.43,10,8,5.751E-4,2.7E-4,2.14E-4,0.00105,2.91,100.65,143,1704.0,13,2720.0,-0.6515803,1.320865,,LC,1453,5.1612864,59.2949646
0.366956,5.0872319394,59.299727497,46,J002020.9+591759,11C,5.0872319394,59.299727497,0.31,10,2,0.001611,0.00361,1.0E-4,0.0117,18.18,370.15,376,3351.0,10,3913.0,-0.1829809,1.1720792,"T,X",LC,77,5.087092,59.2998002
0.654229,5.1781193862,59.314391262,48,J002042.7+591851,45X,5.1781193862,59.314391262,0.7,9,3,3.525E-4,1.54E-4,1.0E-4,6.21E-4,2.35,24.74,49,936.5,18,1820.0,-1.0451858,0.961172,,LC,1843,5.17782135,59.3142918
0.269217,5.0951692805,59.26084493,64,J002022.8+591539,13C,5.0951692805,59.26084493,0.46,9,1,2.916E-4,1.2E-4,1.0E-4,4.24E-4,2.62,12.35,11,1301.0,0,,-0.8253365,1.5313731,,LC,1364,5.09502415,59.2608544
1.220833,5.1187010273,59.335758127,76,J002028.5+592008,na,5.1187010273,59.335758127,1.34,9,0,2.889E-4,1.17E-4,1.0E-4,,,,9,944.0,1,1301.0,-1.0396507,1.4941164,,LC,1139,5.1187869500000005,59.33542185
1.840978,5.0959774981,59.298170538,78,J002023.0+591753,na,5.0959774981,59.298170538,1.43,10,1,2.526E-4,1.14E-4,1.0E-4,1.26E-4,0.26,1.78,2,1294.0,0,,-0.829185,2.4953318,,LC,158,5.095367850000001,59.297764799999996
0.810769,5.1542804948,59.3133818907,86,J002037.0+591848,na,5.1542804948,59.3133818907,0.86,10,0,3.2E-4,1.93E-4,1.0E-4,,,,5,1317.0,0,,-0.8174685,1.2367798,,LC,1299,5.1539387,59.31352435
0.453549,5.1184721978,59.339909932,90,J002028.4+592023,na,5.1184721978,59.339909932,0.54,9,1,4.475E-4,5.29E-4,1.0E-4,0.00183,4.72,25.92,25,1644.0,2,2393.0,-0.6749451,1.226585,"T,S",LC,1308,5.11829965,59.3400001
1.459525,4.9988064314,59.300869868,92,J001959.7+591803,na,4.9988064314,59.300869868,1.57,9,0,2.778E-4,1.2E-4,1.0E-4,,,,4,5858.0,0,,0.4141931,1.1427413,,LC,1043,4.9987654,59.30127475
0.850269,5.0533082073,59.272319706,96,J002012.8+591620,na,5.0533082073,59.272319706,1.68,10,0,3.2E-4,1.4E-4,1.0E-4,,,,4,1013.0,0,,-0.9913865,0.0074823,,LC,2405,5.053282,59.2720839
0.418610,5.1194160705,59.349330499,101,J002028.7+592057,na,5.1194160705,59.349330499,0.69,9,1,3.277E-4,1.68E-4,1.0E-4,6.49E-4,2.51,9.4,7,1538.0,0,,-0.7175543,0.5633072,,LC,1686,5.1195862000000005,59.34940795
1.044501,5.0429360385,59.317012694,106,J002010.3+591901,na,5.0429360385,59.317012694,0.45,10,1,3.175E-4,1.92E-4,1.0E-4,7.75E-4,2.86,11.37,12,2043.0,0,,-0.5338382,0.935665,,LC,356,5.0425207,59.316814550000004
